low,medium,high,listing_id
0.0,0.0,0.0,7211212
<<<<<<< HEAD
0.786797106266,0.195654898882,0.0175480488688,6890059
=======
0.795112490654,0.193110570312,0.0117769166827,6890059
>>>>>>> 93a3007aab60e114a78bd386705005eac25326d3
0.0,0.0,0.0,6867765
0.0,0.0,0.0,7147902
0.0,0.0,0.0,6873818
0.0,0.0,0.0,7020124
0.0,0.0,0.0,6960696
0.0,0.0,0.0,6976491
0.0,0.0,0.0,6840550
0.0,0.0,0.0,6908601
<<<<<<< HEAD
0.915140688419,0.0837163925171,0.00114288821351,6923454
0.0,0.0,0.0,6868581
0.805239081383,0.183215245605,0.0115456711501,6943848
=======
0.924057245255,0.0750346705317,0.000908079266082,6923454
0.0,0.0,0.0,6868581
0.86734688282,0.128234818578,0.00441831629723,6943848
>>>>>>> 93a3007aab60e114a78bd386705005eac25326d3
0.0,0.0,0.0,6943912
0.0,0.0,0.0,6862663
0.0,0.0,0.0,6849455
0.0,0.0,0.0,6822335
0.0,0.0,0.0,6845700
<<<<<<< HEAD
0.756253123283,0.239945277572,0.0038015677128,6880149
0.0,0.0,0.0,6853875
0.0,0.0,0.0,6880156
0.817365884781,0.158883199096,0.023750860244,6933859
0.0,0.0,0.0,6933865
0.0,0.0,0.0,6924176
0.832877337933,0.161844700575,0.00527799362317,6924281
0.0,0.0,0.0,6857706
0.0,0.0,0.0,6858940
0.837825000286,0.154030829668,0.00814424827695,6857442
0.0,0.0,0.0,6857901
0.0,0.0,0.0,6854535
0.993600904942,0.00616686372086,0.000232124861213,6857887
=======
0.658477365971,0.324428111315,0.017094520852,6880149
0.0,0.0,0.0,6853875
0.0,0.0,0.0,6880156
0.723355233669,0.269112080336,0.00753268692642,6933859
0.0,0.0,0.0,6933865
0.0,0.0,0.0,6924176
0.846582531929,0.148277342319,0.00514011085033,6924281
0.0,0.0,0.0,6857706
0.0,0.0,0.0,6858940
0.881942629814,0.108796685934,0.00926066935062,6857442
0.0,0.0,0.0,6857901
0.0,0.0,0.0,6854535
0.993429601192,0.00648024491966,9.01585881365e-05,6857887
>>>>>>> 93a3007aab60e114a78bd386705005eac25326d3
0.0,0.0,0.0,7154069
0.0,0.0,0.0,7096310
0.0,0.0,0.0,7154078
0.0,0.0,0.0,7117872
0.0,0.0,0.0,7117765
0.0,0.0,0.0,7228818
0.0,0.0,0.0,6848822
0.0,0.0,0.0,7139656
<<<<<<< HEAD
0.978914022446,0.0181917957962,0.00289417314343,7229256
0.0,0.0,0.0,7057266
0.0,0.0,0.0,7229051
0.64005368948,0.281867444515,0.0780788585544,6966599
0.928161263466,0.0702349543571,0.00160375307314,7057822
0.7756280303,0.193709954619,0.0306619461626,7054346
0.670536577702,0.274614930153,0.0548484437168,7054333
0.743590652943,0.234492018819,0.0219173133373,6955349
0.0,0.0,0.0,7005073
0.478734880686,0.396383911371,0.124881252646,6933629
=======
0.960565626621,0.0368403121829,0.00259403302334,7229256
0.0,0.0,0.0,7057266
0.0,0.0,0.0,7229051
0.629448354244,0.283171623945,0.0873800292611,6966599
0.987803161144,0.0119530735537,0.000243791146204,7057822
0.830992221832,0.143306657672,0.0257010906935,7054346
0.620936214924,0.314033478498,0.0650302842259,7054333
0.811058044434,0.178880766034,0.0100611709058,6955349
0.0,0.0,0.0,7005073
0.492264330387,0.369518280029,0.138217374682,6933629
>>>>>>> 93a3007aab60e114a78bd386705005eac25326d3
0.0,0.0,0.0,6857617
0.0,0.0,0.0,6857813
0.0,0.0,0.0,6857576
0.0,0.0,0.0,6917796
0.0,0.0,0.0,6917721
0.0,0.0,0.0,6857846
0.0,0.0,0.0,6924222
<<<<<<< HEAD
0.990006387234,0.00983740668744,0.000156248832354,6924193
=======
0.983621358871,0.0163128711283,6.57933051116e-05,6924193
>>>>>>> 93a3007aab60e114a78bd386705005eac25326d3
0.0,0.0,0.0,6921320
0.0,0.0,0.0,6885715
0.0,0.0,0.0,6862236
0.0,0.0,0.0,7095519
<<<<<<< HEAD
0.975536465645,0.0240200031549,0.000443564757006,6886300
0.0,0.0,0.0,6851586
0.0,0.0,0.0,6922515
0.0,0.0,0.0,6930276
0.955422639847,0.0442844852805,0.000292799290037,6858210
0.0,0.0,0.0,6848888
0.934540987015,0.0652626976371,0.000196338631213,6899349
=======
0.954573094845,0.0444032326341,0.00102365273051,6886300
0.0,0.0,0.0,6851586
0.0,0.0,0.0,6922515
0.0,0.0,0.0,6930276
0.964842915535,0.0345600023866,0.000597095349804,6858210
0.0,0.0,0.0,6848888
0.941531360149,0.0579201579094,0.000548510928638,6899349
>>>>>>> 93a3007aab60e114a78bd386705005eac25326d3
0.0,0.0,0.0,6875502
0.0,0.0,0.0,6851747
0.0,0.0,0.0,6829440
0.0,0.0,0.0,6854755
0.0,0.0,0.0,6818685
0.0,0.0,0.0,6875609
0.0,0.0,0.0,6818970
<<<<<<< HEAD
0.990384936333,0.00959611870348,1.88911380974e-05,6855299
0.0,0.0,0.0,6886885
0.0,0.0,0.0,6838981
0.978875756264,0.0194080173969,0.00171614461578,6870981
=======
0.990510225296,0.00942901149392,6.07340771239e-05,6855299
0.0,0.0,0.0,6886885
0.0,0.0,0.0,6838981
0.965882480145,0.0337327755988,0.000384755869163,6870981
>>>>>>> 93a3007aab60e114a78bd386705005eac25326d3
0.0,0.0,0.0,6883478
0.0,0.0,0.0,7175994
0.0,0.0,0.0,6812025
0.0,0.0,0.0,7164177
0.0,0.0,0.0,7145442
0.0,0.0,0.0,7158257
0.0,0.0,0.0,7118947
0.0,0.0,0.0,7167342
0.0,0.0,0.0,7168006
0.0,0.0,0.0,7197519
0.0,0.0,0.0,7175964
0.0,0.0,0.0,7119233
0.0,0.0,0.0,7169079
0.0,0.0,0.0,6894754
0.0,0.0,0.0,7228990
0.0,0.0,0.0,7054759
0.0,0.0,0.0,7010885
0.0,0.0,0.0,7048185
0.0,0.0,0.0,6978932
0.0,0.0,0.0,6982335
0.0,0.0,0.0,6988748
0.0,0.0,0.0,6995622
0.0,0.0,0.0,7048450
0.0,0.0,0.0,6979517
0.0,0.0,0.0,6842965
0.0,0.0,0.0,7010852
<<<<<<< HEAD
0.874404847622,0.123466983438,0.00212824717164,7055280
0.0,0.0,0.0,7046664
0.0,0.0,0.0,6978125
0.0,0.0,0.0,7000656
0.896328091621,0.102193720639,0.00147816014942,6983440
0.0,0.0,0.0,7071188
0.0,0.0,0.0,7011433
0.0,0.0,0.0,7082645
0.925617337227,0.0735065937042,0.000876074773259,7075771
=======
0.876185953617,0.12210381031,0.00171023607254,7055280
0.0,0.0,0.0,7046664
0.0,0.0,0.0,6978125
0.0,0.0,0.0,7000656
0.808415055275,0.173374310136,0.018210651353,6983440
0.0,0.0,0.0,7071188
0.0,0.0,0.0,7011433
0.0,0.0,0.0,7082645
0.912459433079,0.0865857675672,0.000954828050453,7075771
>>>>>>> 93a3007aab60e114a78bd386705005eac25326d3
0.0,0.0,0.0,7149966
0.0,0.0,0.0,6869583
0.0,0.0,0.0,7028073
0.0,0.0,0.0,7010047
0.0,0.0,0.0,7054379
0.0,0.0,0.0,7069824
0.0,0.0,0.0,7055213
0.0,0.0,0.0,6996022
0.0,0.0,0.0,6978861
0.0,0.0,0.0,6899191
0.0,0.0,0.0,6871190
0.0,0.0,0.0,6859438
0.0,0.0,0.0,6915888
0.0,0.0,0.0,7088568
0.0,0.0,0.0,6898787
0.0,0.0,0.0,6894259
0.0,0.0,0.0,6871464
0.0,0.0,0.0,6892491
<<<<<<< HEAD
0.970465540886,0.0292722191662,0.000262219895376,6859834
=======
0.972017645836,0.0276074018329,0.000374922208721,6859834
>>>>>>> 93a3007aab60e114a78bd386705005eac25326d3
0.0,0.0,0.0,6875404
0.0,0.0,0.0,6855178
0.0,0.0,0.0,6870782
0.0,0.0,0.0,6848225
<<<<<<< HEAD
0.408094972372,0.47111722827,0.120787724853,6946123
0.0,0.0,0.0,6856146
0.659075379372,0.303061962128,0.0378626398742,6866253
=======
0.487056970596,0.456373870373,0.0565691441298,6946123
